colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,reg_lambda,subsample,profitable_fold_ratio,total_test_trades,total_test_profit_r,avg_r_per_trade,mean_test_ap,mean_test_wr,mean_score_std,mean_n_trees,median_threshold,elapsed_s
0.3,2.0,0.005,5,20,1.0,0.8,1.0,993,43.5,0.04380664652567976,0.23542428534226048,0.21624078443429962,0.0029360377617801228,9.0,0.4985,0.7
0.3,0.5,0.005,5,20,5.0,0.65,1.0,689,43.0,0.062409288824383166,0.23578672682921056,0.2293867870938423,0.00251596929350247,6.666666666666667,0.4994,0.8
0.7,2.0,0.02,2,100,1.0,0.65,1.0,904,40.5,0.04480088495575221,0.2296266797606925,0.22139932435973933,0.03614733166371783,46.0,0.5,0.5
0.5,0.5,0.02,5,50,5.0,0.8,1.0,709,38.0,0.0535966149506347,0.2262654807162814,0.2254450747627552,0.010651597753167152,7.333333333333333,0.5007,0.8
0.7,2.0,0.01,4,50,5.0,0.65,1.0,805,37.5,0.046583850931677016,0.23058417337023962,0.22730914421024492,0.034784289387365185,66.0,0.4996,0.9
0.7,0.5,0.005,3,100,5.0,0.5,1.0,711,34.5,0.04852320675105485,0.23668889359118614,0.22494553033912368,0.016049891710281372,56.666666666666664,0.506,0.7
0.7,0.5,0.01,2,20,1.0,0.8,1.0,672,31.5,0.046875,0.23449452519208688,0.21838160215353197,0.009631474424774447,16.333333333333332,0.5005,0.4
0.3,1.0,0.003,3,20,1.0,0.8,1.0,686,29.5,0.043002915451895045,0.24264577313772429,0.2183967811485942,0.0021818517707288265,14.333333333333334,0.5006,0.6
0.7,1.0,0.003,4,20,5.0,0.8,1.0,869,28.0,0.03222094361334868,0.22013777186738678,0.21475844814715248,0.003233663970604539,14.0,0.4992,0.7
0.5,0.5,0.02,5,20,1.0,0.8,1.0,736,22.0,0.029891304347826088,0.23263111460298536,0.21353061860623868,0.011393183842301369,7.333333333333333,0.4997,0.8
0.3,0.5,0.01,4,20,1.0,0.5,0.6666666666666666,987,66.5,0.0673758865248227,0.2506863950771751,0.2331884863795514,0.019922619375089805,52.333333333333336,0.4919,0.8
0.3,2.0,0.003,2,20,1.0,0.5,0.6666666666666666,793,66.0,0.0832282471626734,0.22809956585176372,0.2319585252992229,0.004477730447736879,43.0,0.4999,0.5
0.3,1.0,0.01,3,20,5.0,0.65,0.6666666666666666,883,63.5,0.07191392978482446,0.2373417019287676,0.2299191374663073,0.005719062717010577,9.333333333333334,0.4977,0.5
0.3,0.5,0.003,2,50,2.0,0.8,0.6666666666666666,952,59.0,0.06197478991596639,0.23827789760968812,0.22992870865411452,0.002355137219031652,16.333333333333332,0.4997,0.5
0.3,2.0,0.02,3,50,1.0,0.8,0.6666666666666666,745,57.5,0.07718120805369127,0.2476523912283303,0.224229242979243,0.014171002277483543,14.333333333333334,0.5001,0.6
0.3,1.0,0.003,2,20,5.0,0.5,0.6666666666666666,801,57.0,0.07116104868913857,0.21897480614259546,0.21018071626791038,0.003895834330857421,39.666666666666664,0.4979,0.5
0.5,0.5,0.003,4,50,2.0,0.5,0.6666666666666666,931,57.0,0.061224489795918366,0.25509706232665746,0.21990435708082767,0.005816669397366543,34.333333333333336,0.4984,0.7
0.3,0.5,0.005,5,100,2.0,0.65,0.6666666666666666,984,55.5,0.056402439024390245,0.22088710453496815,0.2238320707070707,0.0017000517497460048,5.333333333333333,0.4984,0.7
0.5,2.0,0.02,2,100,2.0,0.65,0.6666666666666666,790,55.0,0.06962025316455696,0.2311380549165322,0.22592861053101113,0.015269719995558262,12.666666666666666,0.4982,0.5
0.3,0.5,0.02,4,100,5.0,0.5,0.6666666666666666,810,55.0,0.06790123456790123,0.24309934141975362,0.24337072188668393,0.015724164433777332,25.333333333333332,0.4928,0.7
0.7,2.0,0.01,3,20,2.0,0.65,0.6666666666666666,895,55.0,0.061452513966480445,0.2193244085635527,0.22251965882365007,0.008918144274502993,12.666666666666666,0.4984,0.5
0.7,1.0,0.005,2,50,1.0,0.65,0.6666666666666666,856,54.5,0.06366822429906542,0.2324077764464575,0.22621212843710578,0.0031677252457787595,8.0,0.5001,0.4
0.3,1.0,0.005,2,20,2.0,0.65,0.6666666666666666,778,53.5,0.06876606683804627,0.24330353087728898,0.22200290275761972,0.006666511161408077,40.0,0.4998,0.5
